EventName,CharacterName,Context
Sector1_Start,시스템,식별 번호 E1989. 이전 기록이 확인되지 않습니다. \n무결성 확인 프로토콜을 실행합니다.
,,1번. 실험체는 [스페이스바]를 눌러 점프할 수 있습니다.\n실험체는 점프 중 버튼을 한 번 더 눌러 이단 점프가 가능합니다.
,,우측의 빨간 버튼을 눌러주십시오.
Sector1_End,시스템,몸체 무결성 23% 확인. \n다음 단계로 이동합니다.
Sector2_Start,시스템,2번. 실험체는 Q를 눌러 총을 발사할 수 있습니다.
,,움직이는 발판을 밟고 상자를 맞추어 파괴하십시오.
Sector2_End,시스템,몸체 무결성 48% 확인. \n다음 단계로 이동합니다. 
Sector3_Start,시스템,3번. 실험체는 방향키 상하좌우를 이용하여 \n물속을 돌아다닐 수 있습니다. \n물속에서 발판을 밟은 뒤 버튼을 눌러주십시오.
Sector3_End,시스템,몸체 무결성 78% 확인. \n다음 단계로 이동합니다.
Sector4_Start,시스템,4번. 실험체는 특별한 능력이 있습니다. \nR키를 눌러 능력을 발동하십시오. 
,,능력을 이용하여 나무를 부시고 상단의 버튼을 누르십시오.
Sector5,시스템,몸체 무결성 100% 확인. \n실험체에게서 특별한 이상이 감지되지 않았습니다. 
,,실험체는 이제 ---------사의 1989번째 사원입니다. \n다른 메카들을 감시하면서 $전기구체$를 모으십시오.
Drone,드론,누구 있어요? 저 좀 도와주세요.
,,왜 이렇게 돼버렸냐고요? \n탐험하기 위해 더 이상 우릴 찾지 않으니까요.
,,….
,,길을 잃었다고요? 좋아요 저를 도와주셨으니 \n나도 당신을 도울게요.
,,마우스를 저한테 갖다 대면 제가 도움을 줄게요.
